"Store","Department","Recipe Name","Old Price","New Price","Selling","New GP"
"Springbok Superspar","Sushi","POKE BOWL FRIKKEDELL",23.57218299554785,18.103781816594278,49.99,58.352972416316426,
"Springbok Superspar","Sushi","POKE BOWL GAMMON",22.304282995547847,16.810523816594277,49.99,61.32806083399996,
"Springbok Superspar","Sushi","POKE BOWL GRILLED CHICK",22.98818299554785,17.50810181659428,49.99,59.72331048392995,
"Springbok Superspar","Sushi","POKE BOWL WESKUS VIS",19.57518299554785,14.02684181659428,49.99,67.73181018386994,
"Springbok Superspar","Sushi","STRAWBERRY MAKI",4.287041553964542,4.406739819766709,0.0,0,
"Springbok Superspar","Sushi","VALENTINE'S PLATTER",102.48519805817148,103.46193590711715,200.0,40.50938685340764,
"Springbok Superspar","Sushi","Salmon Poke Bowl",42.08416006651511,43.41798000295955,69.99,28.660270033714124,
"Springbok Superspar","Sushi","POKE BOWL salmon",57.76111269809406,53.100893687170085,95.99,36.3829276588753,
"Springbok Superspar","Sushi","RECIPE NIGIRI SALMON",4.669647277660605,4.782725692618382,0.0,0,
"Springbok Superspar","Sushi","COMBO  8",98.43221700753908,98.77823695730987,224.99,49.51110160411292,
"Springbok Superspar","Sushi","COMBO  6",41.832625127386706,42.063305093900574,99.99,51.622361378152156,
"Springbok Superspar","Sushi","COMBO  7",38.98058783250223,39.21126779901609,99.99,54.90253228435993,
"Springbok Superspar","Sushi","COMBO  3 Salmon",39.699371873554135,37.64670284405295,84.99,49.060232650122494,
"Springbok Superspar","Sushi","RECIPE MAKI AVO & SALMON",10.495310427695756,7.7043524648328665,39.99,77.8444477755494,
"Springbok Superspar","Sushi","RECIPE LARGE MAKI SALMON",5.102934337855554,5.2230380382335175,0.0,0,
"Springbok Superspar","Sushi","COMBO 13",80.47864357705183,81.70370132090707,119.99,21.69409407530367,
"Springbok Superspar","Sushi","VALENTINE'S PLATTER",103.46193590711715,104.07446477904479,200.0,40.157182752049245,
